search_date,content
2022-04-12,"
#请告诉全国人民浦东还在战斗上海还在战斗#今天刚借着疫情试探性地提出了回家啃老的设想，被无情地拒绝了，附带一小时革命教育……我可能不是亲生的 ​                "
2022-04-12,"
                    不愧为魔都 2上海·金桥 ​                "
2022-04-12,"
                    打老虎打了这么多，为什么还是这么烂？//@勤奋哥:这是哪个上海？？？美国的上海？？？上海的哪个单位？上海的朋友们都来看一下，物资供应丰富的很啊！！！你们真的缺物资吗？！ "
2022-04-12,"
                    【孙春兰：#落实援建工人货车司机等离沪人员闭环管理#】中共中央政治局委员、国务院副总理孙春兰4月11日至12日在上海调研指导疫情防控工作。孙春兰强调，进一步坚定战胜疫情的信心，从严从紧落实各项防控措施，坚决阻断社区传播，全力做好医疗救治和保供稳链工作，齐心协力打赢疫情防控攻坚战。孙春兰指出，#上海疫情防控形势依然严峻复杂#，要锁定既定目标，坚定必胜信心，拿出针对性更强、更坚决果断的举措，解决存在的突出问题。坚决彻底遏制疫情扩散蔓延势头。落实援建工人、货车司机等离沪人员闭环管理、核酸检测等防控措施，防止疫情外溢，也要避免因执行简单化出现交通堵点，导致断供断链等问题。（上海发布） 
"
2022-04-12,"
上海抗疫求助#浦东疫情# "
2022-04-12,"
                    他一个劲让我看新加坡死亡率说低的不得了，一查万分之五。听着是不高，乘以2500w上海常驻人口基数试试呢。新加坡还是疫情接种率高，有效治疗的国家。放上海也许维持这数字，其他地区怎么办？ "
2022-04-12,"
                    这些水果蔬菜不在疫情期间就挺贵的，蔬菜都是最新鲜的上市蔬菜，梨，橙子粑粑柑本来就要3-4块一个，在上海买，原先的市场价就在500左右，疫情溢价3.400我觉得还能过得去，跑腿费真的好贵 "
2022-04-12,"
                    祝福！九江市第一人民医院参与接管N5舱以来首个大规模出院日来了！#九江##支援上海##抗击疫情# 2九江 L九江市第一人民医院的微博视频 ​                "
2022-04-12,"
东方卫视#东方卫视##东方卫视抗疫特别节目单发布##上海加油##上海# ​                "
2022-04-12,"
#苏州疫情#苏州人民：赶紧吸取上海人民教训。超市买空，只等一封。 ​                "
